linkDescription,hours
"Business Hour : 11.00am to 2.00pm, 6.00pm to 10.00pm
Rest day : Monday
Updated 18/8/2022","11.00am to 2.00pm, 6.00pm to 10.00pm"
"Business Hour : 8.00am to 2.30pm
Rest day : Sunday 
Updated 18/8/2022",8.00am to 2.30pm
"Business Hour : 7.00am to 3.00pm 
Rest day : Tuesday  


Updated 23/6/2022",7.00am to 3.00pm
"Business Hour : 7.30am to 3.00pm
Rest day : Sunday 
Updated 31/3/2022
",7.30am to 3.00pm
"Business Hour : 9.00am to 2.30pm, 5.00pm to 9.00pm Open daily 
Updated 25/4/2022","9.00am to 2.30pm, 5.00pm to 9.00pm"
"Business Hour : 9.30am to 2.30pm 
Rest day : Sunday
Updated 25/4/2022",9.30am to 2.30pm
"Business Hour : 8.00am to 9.00pm 
Open daily
Updated 9/4/2022",8.00am to 9.00pm
"Business Hour: 10.30am to 8.30pm 
Rest day : Monday ( if 1st & 15th of lunar month fall on Monday , next day will be their rest day)
Updated 13/4/2022",
"Business Hour : 6.00am to 3.00pm
Rest day : alternate Sunday
Updated 15/3/2022",6.00am to 3.00pm
"Business Hour : 7.00am to 1.30pm 
Rest day : Sunday & Public Holidays
Updated 13/4/2022",7.00am to 1.30pm
"Business Hour : 6.00am to 12.00pm
Rest day : Monday
Updated 9/4/2022",6.00am to 12.00pm
"Business Hour : 7.30am to 6.00pm ；1st & 15th of lunar month 6.30am to 6.00pm 
Rest day : 2nd & 16th of lunar month 
Updated 6/4/2022

 ",7.30am to 6.00pm ；1st & 15th of lunar month 6.30am to 6.00pm
"Business Hour : 9.30am to 7.30pm
Rest day : Thursday
Updated 22/8/2022",9.30am to 7.30pm
"Business Hour : 7.00am to 3.00pm
Rest day : Monday
Updated 29/4/2022",7.00am to 3.00pm
"Business Hour : 10.00am to 7.30pm
Rest day : uncertain
Updated 24/2/2022",10.00am to 7.30pm
"Business Hour : 10.30am to 8.30pm ; 1st & 15th of lunar month 7.30am to 8.30pm Rest day : Wednesday 
Updated 13/4/2022",10.30am to 8.30pm ; 1st & 15th of lunar month 7.30am to 8.30pm
"Business Hour : 7.00am to 12.00pm
Rest day : Sunday
Updated 4/7/2022",7.00am to 12.00pm
"Business Hour : 7.00am to 1.30pm
Rest day : Thursday
Updated 2/4/2022",7.00am to 1.30pm
"Business Hour : 7.45am to 12.15pm Rest day : Tuesday (including 1st & 15th of lunar month)
Updated 17/6/2022",7.45am to 12.15pm
"Business Hour : 4.30pm to 9.30pm 
Rest day : uncertain
Updated 14/4/2022",4.30pm to 9.30pm
"Business Hour : 10.00am to 10.00pm 
Open daily 
Updated 9/4/2022",10.00am to 10.00pm
"Business Hour : 7.45am to 1.00pm
Rest day : uncertain 
Updated 20/5/2022",7.45am to 1.00pm
